trial,shot,family,acc_plus_5,auroc,frr_plus_5,far_at_5
1,5,DTW,0.05154639175257732,0.590599777718162,0.9096710849288169,0.04996282527881041
1,5,HMM-GMM,0.16151202749140894,0.7100052741749748,0.7297496318114874,0.049516728624535315
2,5,DTW,0.054982817869415807,0.5979000023724663,0.9035346097201767,0.04996282527881041
2,5,HMM-GMM,0.09180166912125676,0.6273821659886889,0.8436426116838488,0.04981412639405204
3,5,DTW,0.04786450662739323,0.5970076995654736,0.9143348060873834,0.04996282527881041
3,5,HMM-GMM,0.11413843888070692,0.6460551178659484,0.7893961708394698,0.04966542750929368
4,5,DTW,0.09597447226313206,0.6518196998647694,0.8507609229258714,0.04996282527881041
4,5,HMM-GMM,0.09548355424644084,0.6350549408434665,0.8163966617574865,0.04981412639405204
5,5,DTW,0.05130093274423171,0.5841342961896366,0.9050073637702504,0.04907063197026022
5,5,HMM-GMM,0.13892979872361316,0.6945634753345633,0.7820324005891016,0.04996282527881041
6,5,DTW,0.06946489936180658,0.6415767045713774,0.87653411880216,0.04981412639405204
6,5,HMM-GMM,0.08861070201276387,0.6424037098072279,0.8308787432498773,0.04996282527881041
7,5,DTW,0.0547373588610702,0.6112393581201307,0.907707412862052,0.04907063197026022
7,5,HMM-GMM,0.10775650466372116,0.6437010838520822,0.8051055473735886,0.04981412639405204
8,5,DTW,0.0780559646539028,0.6201470564081226,0.8649975454099166,0.04981412639405204
8,5,HMM-GMM,0.12837506136475207,0.702565986498842,0.7658321060382917,0.04981412639405204
9,5,DTW,0.04737358861070201,0.6077808133179305,0.9123711340206185,0.04966542750929368
9,5,HMM-GMM,0.12665684830633284,0.6137915113157515,0.8173784977908689,0.04981412639405204
10,5,DTW,0.052037309769268535,0.6003962018640285,0.9113892979872361,0.04996282527881041
10,5,HMM-GMM,0.10382916053019146,0.676983098915418,0.819833087874325,0.04996282527881041
1,10,DTW,0.057928325969563085,0.6170485424844832,0.9005891016200295,0.04981412639405204
1,10,HMM-GMM,0.27835051546391754,0.7630396767605981,0.6200294550810015,0.04966542750929368
2,10,DTW,0.050564555719194895,0.609999215261163,0.9062346588119784,0.04921933085501859
2,10,HMM-GMM,0.23220422189494355,0.717600560632025,0.6887579774177712,0.04996282527881041
3,10,DTW,0.06553755522827688,0.6356880973368154,0.8861070201276386,0.04996282527881041
3,10,HMM-GMM,0.1799214531173294,0.6769271817108402,0.7361315660284733,0.04996282527881041
4,10,DTW,0.08370152184585174,0.6580265825718629,0.8691703485517919,0.04996282527881041
4,10,HMM-GMM,0.21232204221894943,0.7588740640164393,0.6845851742758959,0.04996282527881041
5,10,DTW,0.05964653902798233,0.6153075172505671,0.898379970544919,0.04981412639405204
5,10,HMM-GMM,0.20962199312714777,0.739988429664588,0.7177221404025528,0.04981412639405204
6,10,DTW,0.054491899852724596,0.6311566137971687,0.9172803141875306,0.04996282527881041
6,10,HMM-GMM,0.16151202749140894,0.669923369340071,0.7832596956308296,0.025576208178438663
7,10,DTW,0.06897398134511537,0.6332016797061062,0.8988708885616102,0.04966542750929368
7,10,HMM-GMM,0.22729504172803142,0.7178076951855361,0.6568483063328424,0.04996282527881041
8,10,DTW,0.0702012763868434,0.635850447027391,0.8745704467353952,0.04981412639405204
8,10,HMM-GMM,0.22140402552773686,0.7549262801736646,0.6971035837015218,0.04996282527881041
9,10,DTW,0.05621011291114384,0.59111580737764,0.9013254786450663,0.04996282527881041
9,10,HMM-GMM,0.265586647029946,0.7428883134137417,0.6354933726067746,0.04996282527881041
10,10,DTW,0.05424644084437899,0.5966080302507697,0.9023073146784487,0.04996282527881041
10,10,HMM-GMM,0.22115856651939125,0.7192316494297868,0.7103583701521846,0.04981412639405204
